,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2306,MASTER,jLwOPFsM3ysTrjamUCZ0LmCTSphGWYtpa2vyOX26y5U7f9g,FreezeSpirit,336,401,367,False,False,False,False
2307,MASTER,Q5RorXks05RJg-v5J5oE4bOY0-yUkjB3DJVLCpjue0UyZw,xLuq,332,199,173,False,False,False,True
2308,MASTER,M3BkIkS-SArJDH6az2hQ6jXdr8MTvWmzmgz-z_oS_b_1ow,Please,307,262,233,False,False,False,True
2309,MASTER,mphufA6v3RD2rXdogR9QqesLBzvAkO-vzUGwC3iDOgHb,Raiser,300,230,213,False,False,True,False
2310,MASTER,XgyYs4zOKHB4VQTfzeoUnp_0l-l_09abKxYEY4pIWfskPA,Halfway Right,394,312,286,True,False,False,False
2311,MASTER,XtNVw-fuehUfTIfDewjcjgE5x9zYRCiRmbMpiAupJqHw,Drytea,370,463,441,True,False,False,False
2312,MASTER,OImMc9zPsVeIOeCJldA71wp0qXrUjoHVhIMMWxvtQ_f9LA,puyoI,651,150,117,False,False,True,False
2313,MASTER,Y5eBKQv9FeofhyTbC7RFhHyMpp4oL19bAH9OCqoOJr8K,utito tempo san,328,537,525,False,False,True,False
2314,MASTER,gAPKHRINJ6HleqeE7TXgeOsql2jdcpNpPVkFclwl6AZB1w,mid is ruined,553,116,82,False,False,False,False
2315,MASTER,kR8JvBnHOO-p_IqLv5SiFCpJ0LGsLaj6MThbQ6ls9ha4gg,JamalLOL,495,532,505,False,False,False,True
2316,MASTER,bp9r0yKj7qbJANIfHkadRuPuG9kpoyhAgJxAYbFpsRu6NA,UAM Madre ,335,506,495,True,False,False,True
2317,MASTER,wwzRJfu4fcC0a0eRL9DnWbqKQ3gcuoml3JOeULcl1XLizMA,Hibernate,403,537,424,False,False,False,False
2318,MASTER,w1gec0AfdjjCOZXh2DbBbxOcYv7YVB8R95F0qPzZSoityPU,RNG m1ng,660,156,130,False,False,True,False
2319,MASTER,eLkyKUKo0tMH786qV60bLJnDHe-t2qwmAQUAz3rWskafoec,1Vitu,624,907,854,False,False,True,False
2320,MASTER,aSnSXa7eT1AiGre6dzZYy4IIrB6sLmlnnH5OXUVWWN2vGg,Quê isso cria,343,806,761,False,False,False,False
2321,MASTER,wjUSJAp2geVsh5-HgN14ZyInj1FeezOwwkSGIyHNyDlJq60,Themõnio,298,687,673,False,False,True,True
2322,MASTER,iDoZYsb0NzHNIgmwQz8MBpZy_8dP21JLWf0AsoStW2yvEbA,proplayercansado,386,269,231,False,False,False,False
2323,MASTER,bCkFmytf1JVmeJGOrVcQzIVMHbQk-EzceqnyfFmyi_6VMw,Thiagolamen,469,651,619,True,False,False,False
2324,MASTER,fL4gijn0x0x7tFrZd9Ui5OvVKZO-d8pZbDdS3vy3WI7Pjqs,fpzmffptm1,455,143,83,False,False,False,False
2325,MASTER,njc-mOPdefMqP5zduZpVlB1CPLJyZyFhYWPVhJ1SrQ5k,Kuaix,476,358,330,False,False,False,False
2326,MASTER,kwN_M9xdN8-TophRuGKc-avA_MsxuBoK09TONMSTHG-LVw,CD HenriSthel,418,261,225,True,False,False,False
2327,MASTER,jdkNpxNZLtr_eytBH4TzoLqwYF9Y1g0Orm5k7jX8ykk9rQ,zibiu1,310,664,601,False,False,True,True
2328,MASTER,sI0A_6N6zzXvI-3_y5Q8GrZ5wyzmYxzhJtvZdsUup1s80A,Amendwins,312,152,120,False,False,True,False
2329,MASTER,eDh9kJrIC4UfqjrtpPa7o_9yWNhGqVlVGTuvF_Cvwajm_Q,Filho é Canhoto,471,321,290,False,False,False,False
2330,MASTER,RO8dCrc_DknwYED3UEbcqlho3__Eu1E39lsaN1Y-COhwnbo,Amy Vol ,336,512,498,False,False,True,False
2331,MASTER,2TcEBS-A4KM_HBh99dQNW9u7uF-8yKnUjBTncqBnGcg6PQ,Brunkss,275,178,162,False,False,True,False
2332,MASTER,sD8upUmDiJ069DryYdNb1pbRcCIxIXcFiupp1RcGxlz_ZjY,dsadasdasdsa,542,245,215,False,False,False,True
2333,MASTER,wofcybwSh9WAxQVZC6z9Vk9ugNrMWC37BrKIpI3dbHwPJJQ,lIlllllllllIl,291,237,162,False,False,False,False
2334,MASTER,rRjvXdOtqTd43yqTlGNTHn7jYKPC1rFQBosgN5q7QyYo6r8,L0BÃ00,314,103,78,False,False,False,True
2335,MASTER,o73cIECg8zZCVWUML-UmLNqTFa9vCC6_WCPU2cuJnp26AMM,czCrowN,302,133,86,False,False,False,False
2336,MASTER,ymozCrknqJHL6M_-q3mNE1gHT7uDB7MDJ4VoV7d08aai,FdeFiddle,290,292,278,False,False,False,False
2337,MASTER,rFG0IHeDF-xBId4KdsGZ7W4sUfBLXqfYQgBRFxVee-GP9g,Only Mechanics,398,505,462,False,False,True,False
2338,MASTER,v29__jgcmQWe7BKQIW0Tus-yyxTBn9XhptDFw0vc2b7X,WAN7ED,492,185,161,False,False,False,False
2339,MASTER,sOPXUFovTAUZLmrE7XcpClQO68RHuVmlZwedTKlWbm9h7ck,camilonicolau,157,367,311,False,False,True,False
2340,MASTER,XpFU5uIzCsuOLp1cxsb3-U2fLgGdJGqxPuWBybWZw-dBbg,Syoke,386,229,201,False,False,False,False
2341,MASTER,mtosk1RYgJZo1W34LNqOd0ajONQ_Olq3psF96OcUsLj2lg,Byaninho De Mauá,425,456,446,False,False,False,False
2342,MASTER,FABm-0r6FwikoWgvzMgB2omWbm3n9L1GM9mkR6lfnprlBHw,narigudo sagaz,522,164,124,False,False,True,False
