,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,summonerLevel,puuid
1539,MASTER,5yWR-2boSgCCLM0O9Feu8U3dzZTDKP7Emo5wGkFFdbiyDXY,Ayane,0,175,153,False,False,True,False,oHVNmHEC-fv6Qnl_OYN8z9MTuC08MsBoH78vkd_-3vVzFog,793,tbKMyXnsc3jCA1hHsV4fXUYseepdJT_H62hgBLu1Xe544RvJv5cbjfjKnjhUkaAOBBsS8iN1rBjGRw
1540,MASTER,VPyAWMyAB0f_5T_xweJW5eE7kMuN9iXZssRWnkTtC9RZd-s,Itz Mapa,34,400,355,False,False,False,True,TX56c26peqPCPszTVTDX8kYw8COLJoHbC2NH5KLJYHRraqg,227,9LSbEF1erpoZ-naTbQgAiiiI8Zd1zMZeG0hpWikjwEkqmRQ5ZvAKLo06eGmiSohkfEnAuj0HHQlKrQ
1541,MASTER,UVv7emRgI3Du1MlDN6SOcjwXlPI-lXztjTHZYMKD3gdDjA,MISTER É O BRAIA,105,196,179,False,False,False,False,IqrusFdX91fD6ZgQ7mgdb7KygjwX91pdBSiwW_BZDbSoe50,297,njPqNJjehLzGnKbRXMWot46nN-F8DSbsv2u6WI6rDhMSuB62BpA4aB0rVNs0Uuf4cqje3E6i-4UsGA
1542,MASTER,PAPRYzWWSWyTh_DxY_uFA-HtlU6V-m761Gb1-7_r6zkI28s,always cursed,18,131,116,False,False,False,False,F3dVp1cGjXtqh9jHo0oK2eKY6aoOsHY0KxF0ZKOitIJ6PRE,270,mPVPTEZG-1-vswMQO-blTCGBRp0QEWD1ObPvLWH5fBvfwOS0BnMM4YlZ5n_LH-V81d23r6bubdLuRw
1543,MASTER,oz78Yet_enqHmPSguKdB_C2DFoVCbwcHE1zvBWP9xxslJw,marquesinha,0,421,385,False,False,True,True,PnFJSBcowKSKwnXFCunFhxmQvwiSGK7MPo1uaYLwit_59WE,508,7rWgiPoR5hOIt6wJk-4v5ouULgYm1gKsx374q5CQmS24TUMXrPQYSqgRRZE-eZhGGFJGfAiPERpY_A
1544,MASTER,DMzwm2mEUCSVJcu44MnQtap1KolwtNJjwQJI78FdBVrKahk,weather boy,89,379,307,False,False,True,True,wSMYBHcsNEAN19Ng7CEuu1CpapIgE7A9Nh5hMvtQiAPqw3c,202,-1FxTmTuV8N4jk1DRy3jiT1lK1eo2frHMtZL_YIrlIIhbfqP2O_qd5STB4zNGdW-bJidSEgs_Mnjrg
1545,MASTER,3QJYYNYGG__OdN5J0cT--ZdZq9TFNnSXPI73EEwCWYF-xw,Yakamy,22,386,331,False,False,False,False,esbgPzyQwKRPMJMaZ1MgcnI-mj_TAlr46DjRUZT8RzZgnNE,164,Gx-dHJvxs5xeh8Kbjy8Wkwso_mVdC4fnbqkrviWt8Okd6R7TymxG_8zfnmx4E6jAtmg3r0SWzBwaHg
1546,MASTER,vwIQ17hmRLUX_5kRoVQVLlpvi8XMpRzuPRl2Nfv4Kt1_CQ,giyeo,212,213,196,False,False,False,False,fvBWwaRYXHcwtpq7DD879YeEhusqgGdiGktLQIrHd9R8XQ4,433,9GxJVW9OE4c-hPYR_LgiO17alVbaHo3FQul-EYmzEWH0TPgFX1VURbL_9KcyQhO1gVK_xObqOh2Dgw
1547,MASTER,L0C2LmrewSq13COafjsUQh75FjdqDEwic4f_frelLny_pys,WaffIe Jr,222,222,193,False,False,False,False,2BK4J_Tdg9fb2ilsHJDS9LPDn7wFUFiIUgLgWtRQnP9YLWg,104,9bTAXtc7jURoQPaXLRFQkwKjJAYOOP_0VBprfQMzIOxXrNOCTh0cQmktXqlk8lANUiTnp3RNU5yIfw
1548,MASTER,LSTzoSN9xEdFD9HqFuMcodB66xHEEZg8WXEPfUjDoyR9UA,furino,35,401,395,False,False,True,False,urPNCgVlUguQA0DvfUgTjSaAcmUp6GvhUlU7j5wCTp7BZEY,475,BsaEogUug6F2nx40B4-jCMpMFQtgCOtbPQP02qYzC0967WljHuC-ylDGmb74J9WVpk1sh16RCU7ZPA
1549,MASTER,KAbdXv2pgHj0omnkhm8noilrR0HkwIi7H2OVVBkO-cG2Bw,Akrínuss,24,193,186,True,False,False,False,t05l_SMZo0NV_g71pofmhnWt9dWgjATEizgKebljVBxd,274,meTyiMjP78GS9iz18ahQHdJhsqbZ9g7HJrnHhoJ005Q7naaLcn27Qz4LFhgoFnPFioZdd21EX68OrQ
1550,MASTER,QHcis3BaZ-tFJ-FcihAy17lR-FOi5PycO1iH6ikkSC_eyns,Br Mistery,12,263,184,False,False,False,False,3zUabRU2-BEX8yHh1L_-MPiwSpsundHqT4EWBqDuYcnrwic7TGvotMPr,67,gI9FORn7kCiY_TtHLd2MulVS06rrvappPQ4y7ohbex1B3LjYmI6U2juRb6C9NDB-nsgfHlIYVx262g
1551,MASTER,Mz92NDhsu4aWV-NAsY2Khd2DCWBIZ0ogyUCH0o1JrkxIcA,silvson 44,0,163,152,False,False,True,False,760WU56OzECkyr8K_cUrNfrq9uRD58bJruZ_tKg5GXqdLyk,256,IR2YdEVHEtKLn99ZE3JFcjZThhJGen1z_Zgnp_MUSA4oCRsORgYLVrtxi4m9f6PjWgR9zdl1MRk2mQ
1552,MASTER,qV7zenE0S7SjRbJDlKmq_TfIZjX4YIrijPcz90kG5N-h_w,jaumm,48,263,197,False,False,True,False,zlzCrYSHVA0q6Xzg0Wl4dxEnc4cGelsBJjSZr8bsxM8RfJo,189,bl5pqSdo_DCEVsgXLVD3OFr1SMWb1wD8ge3TTiRPg-hZMrAfjjYejxSpYzioNJPNENCmNypuPnsBGQ
1553,MASTER,AxYIry41QzS5rgxpPJmUe4PbgH7T4ygW3MamQd4hK8LKc2w,Broken Röots,66,134,84,False,False,False,False,Rj0CJ7tW0Zvu3T1JHcVAvbLBHSWPi_Z5JXAIn1wKwLcFnwoWvX6q0rh8,56,Vub0K7mHBoIUxANDz7YuT7ZnPUku0NhFwQyT6Dv33Xak5eG5Gy0Ai-KyqRt6OO_-isaCIq9FcePbQA
1554,MASTER,YX9U9h6lMVaRiaPSYzz8XlE1Z_g3WsTLvxuWzS_84tQ-,Hypedzin,70,780,744,True,False,False,False,xid2GgMbjlR2FzyHCMf0IggsBXxZKLSJky1yfiDztxw,415,ZV1fyhZiRpuparcyNKHWF7wU4_esAH3k_csfPRByigJNLZBV8OWKsXgQ1mb5gffmJgN7Tir50DSPKA
1555,MASTER,Ar-1UBfxwDhSqgWivAqE6h4iphTPvWtiz5uKOX-Zu13WLgA,Hi m Sheik,55,221,203,False,False,False,False,0JzTGzhjK0l7aa1e06PasMD1EB_m4YCOzMs9yaugv427YKdq4W_X2qY2,95,Svk0AJTV3VmakOc8uywH5py_gB0xioGW9BEpZFEv0NLmQ15t9XnofxsCEncR3IcjFbic9FkQTa9n3Q
1556,MASTER,-fgZRIpdXiYu4PQZGaCquH3lQ40YU48mgbK6TRcP7HiCOQ,nunezz,86,318,308,False,False,False,True,W9DJ1FN8_DeG0m1kyuObESisrh7FITJyKFAa3dhNd8PJytg,351,9Ela1g3FSfOPSR_QHqYS-1v4LtNi6yzVk8zUTfPaht3cJeA6W_0arTbhIqiCBX8dzYelF_gHOiR42Q
1557,MASTER,9fBNm128fDS3dqDC54PEdzHXEwphf8GNLSB0-UKeLsjFiv4,Solitârio,290,219,169,False,False,True,False,15AObnQNM72uqvdRReO_pNnPVA-FHriJkfepHWVChvvmdOtyuC9uMx3Q,147,NGcKzF3yve5ZyWsK-VYVeoe4KnjGoGSRiDCINHac7SjloGvD89O7NSuXnt-gesn-Y9Ic3kn0sz4CWg
1558,MASTER,sidmboncRqpCAt7h7EMi60qeonCk5sO3NKQeM-Xhyl9o-RQ,CbTV Luke,36,171,143,False,False,False,False,g_XNI3Ur8ZSmJfnYQ-B3601w2n9Hcbp-fPSOvmror1Kq_gFjudjXNLbY,93,0dE4osRsbVx_wzIjIUpNsPwtthLZywZRsAdlNuyYb2YshtJ_I8ROJv1Ju1Wm1GF0JZMrEgUeIKPGCg
1559,MASTER,3eXEVTT8eQiERXJbjm6ygbNg5H9bHsaLJ66MOd0kQvV1i14,Caçador DCasadas,226,185,89,False,False,False,False,HZry8BKWDqNv3lEpvvAJEOMkLT0fHpANAFGeyPYEVs1gIkXQivRuz_MR,55,N5t6rN5psqDl1b4Ey4zol5wNc0dtDSYD100AUz1dZLTT-HDeSxIf3XhrfxLrWHgbbw0z9WmkrVqUYg
1560,MASTER,D2dAVh0GdDJ8YXsIKTcFSXX2bTIuIwG6TM30nGSFPk2o,Raubahn Aldynn,197,311,298,True,False,False,False,mXeFjQbqS_bi1XgZy8z6uK_MxW8662ynwrQM0Pu7EBk,289,7INJ3feYWwi2RuO-O-vXxRteKyv5afA-Aqv846O6JLceM8jaRt8ZQv5Pmps_UavpZnbfHV3oSMx8Pw
1561,MASTER,qmKFQ2OOlOHFXxAgGsdyNpUc04zFoV8Lnt6eQpPkMQ0aJg,drowned in agony,32,577,543,False,False,False,False,e2zxEs5SuRIeBDcKQ9IrAwmt1wtRGSYvqUrSZkb38-pykR0,337,9q3OWxrU3EVdyROBqd_AQJHsCeseIPNF3Mb-KhPxpv2rza7s7BXuk1TsjrH5oJ8RE5ZVhtipADkhCg
1562,MASTER,gprpG4ngxWUUrGAPAvj7Xzcic41835QEtQjtovNdpdk8-Bc,rainy days night,195,329,319,False,False,False,False,GYSNGolI09i9nJ2EGhNpS3I-UZjuy-PfOnP5NeccMTN7RC8,121,BCzQLh6jJg-oHfUXDLiS1FweUuE2CfycOTJ8Ocmavg6l0oejtm1b7mDQj0ImjSw0Jau1o86KatxgqQ
1563,MASTER,8RnOLe4R9JNYW07JQSdhBEpdvuTehtAaeplnxaQzg7GXOg,einfach,0,483,477,False,False,True,False,tmzcsmlz7ffPBghARsfpUjoPIvnJKGBhhInATJhrRnXMatk,314,dqgTKt5dtu9AxqPK5QdmuQnNazbfGITVRbEGswpb0Y9mV55xPdiE0G4Ovpxj-qZobSqoQ-z9iQx4EQ
1564,MASTER,XGD_nLDrBX201n8kkdS55bubgY9AdfSi4w4cPYkV3sahGg,dedeïros,209,325,313,False,False,True,False,DR7YW_xaYsnrVPDU68uHmNDKpsgM0CatZUuTQP0drKy5n5Q,355,jZx7dK69QhexiQjEwzMQJ0p8ClVfYvAIs-cM7ix7ZJEngFIazswR6HOy0eewUtCoPdTS9gLEM_xrGw
1565,MASTER,4_X8GLxpzL5l_CKGdgI4vSMf1U0XipWbj0tC_YzkFPZY,Bernardis,133,265,251,False,False,False,False,HdCp77j3LakZQxbjJAwUXTOWZukPZRSRXQb8VO8H8t8,168,8j7kE-LIehuSD9cZv43v79WO1bOXFfVuyHHI-twxvdgRzPuc0Q8yhBk2sf-LNu7x1RBoVtMeRnMkvg
1566,MASTER,8oi8A5_Kh65xEMEEMINLDwK115V3a4c0vBmN-Kuh70sCrA,maz 11,217,711,696,True,False,False,False,mu_sTBPakhWztVbU7vpgr7JdMBrjMrq59dKTpZFYv_y-q7U,387,475DM26_Hdi2ur6aA57l_abGRduiBf_xeThWaxBIkHQY73MF6HrXpngynX-rEkr9vuUKvgQNbg13Rw
1567,MASTER,4sWD_dpMewBrY6Y2th8DBK4RZm-327_dJr6fZkx04hFUdw,Soothe ,171,177,152,True,False,False,False,AslBnVZIqLGEmf6cHZDTSGDtCQLePZEfDzPUaG0rxTSm9jc,238,IuDn-7vhNkjWmtydQEOEfCPFSefZVHxQytLOPPYYXyd1pJH37s7NmTQCUuV8T7o4cYiy4fl8ei8tig
1568,MASTER,mJami0LEPSJ9foGgPGezovxl5dgIdScGRwHzqsS4rGSUnQ,Jurassic Perkz,0,185,165,False,False,False,False,O9hkvVhIb4bE56J6fjQ6pjaaE0-TGURAYkhVvMrrJV8jpqk,142,g-g_20t4GdBFAdSN3sqQkSqDQB4fqmnhwKjd5bBq8GGEpIWiOmQM3JcApxK-z46vsGxQ78L7lvWvDw
1569,MASTER,F1H9dWpRM2MWFav5QAnTVnsXCGCL22pEHD6GGcGaXkiFvPQ,Bryan O Cornor,196,259,231,False,False,False,False,dtgyDXvfLAKM5EISX9TUKSjhVAkT855YI_pQNO9Vbe60z_U,301,K3odOXhtT1-W8PSi-BR-VQh6SPEJLAl0r6X1thVcdwJzkADu__exKT0N13iMpuBe_p199WzpgcCCMA
1570,MASTER,lVb_FVoysycRA5RGUrSGwCu063Kf7UaWUah_imIh_zgfz2o,yob,312,172,138,False,False,True,False,4KnnPlZQC23DpXXi6DWZtIgKBnEqr4rPTvmSzz0J82UDwi4,345,a8LRS4QHHTWHbrVMLtc4eTqECNWGlwveRPjt4R8PDrtrN-Y2-X3A6DwckOSAMy87JdOpy3xQ5beSdA
1571,MASTER,94wT8rQg0uXCse6LcZoF4Kjb73r4BbYRbEqnzvg2Lg3it54,ALNX,0,669,599,False,False,True,False,CtaAlDy32_Mna7XEbRJchDlnXnOiuFbhssrZYRqh4P82z133TjJVzuZ1,116,7IzRUndZKnSuo6xjrQyYjaLH55nTeli_5Dfp64dn_b36CVuk1WLcwyLW0jVWvG5Gf4Yq83gKp2w-wQ
1572,MASTER,p7xEQNO0h1KUHJf-jaIcRjQHvvD_V2K4Uo9s4xJKSUB7Dw,Bot dif xD,0,577,521,False,False,True,False,PoCGpRGR8QiSGSuhofF0XzJXs6iWdKnRlpY9Vt8_tMWIMEQ,320,sF-qxrF-OORnQ3H5WpyTkiKAWE9Wk2wrqTrIRPgiOGGb5PlJTgu0dipuVdMBBnWmm5tmgoOuw_EekQ
1573,MASTER,6UNXPxmEZcEhOkuU5fdBk1kBwfhLliX0Z4GKwSfRpWyM9g,TXG Omoshi,168,372,330,False,False,False,False,3Ma581B6u4FxQI1MijbYqmrGmrgon5PSkU6S63W2ZwGL,307,PUj0MOhQi1nKAGltZurJLE9FmWFko1im5rCz3zz6QcAaQyf_bAy7dyR47OAqwyFstiBs8DeaDjcdKA
1574,MASTER,ir4MkC9I6pDWKNXDEp4gzFqaDtdpVCSKCBCC11HTHeW7_hY,3days grace,13,76,45,False,False,False,False,X8ss8y5o1yyB_Q4O2ZxHtBnLxwP6AmtMaKkzhpYw1iDBBxI,67,XMiWuoqG1n8bTqKh4_AF1VA3kY-QfdKAOGHx0IdMU8_pxu0-kb9JXuuROS9OWOpn7bWP4Sh9FNN9dA
1575,MASTER,BCHaUOBt0DNbORQgV_qklhCiZfIzsRSu9EJmjqNiyGKnAA,Bababilco,0,262,219,False,False,True,False,UFAtQoDJdv_zqxHBBpSm-i4P8N1INwx6Of6se0pq2qefcBM,236,8edK47G0xysK8NV0UsjyrHHYNnbcgg0v4TMYQnuWgO7ZklzbQTOtwDNSVnP7bYUoxFco08L1q2XtTw
1576,MASTER,6cnBzDWMznYfaYIuQe5jqjtFMmrATzep3KNkBwyR2_YQs9Y,Samurai de Vento,0,92,76,False,False,True,True,tcZEcFP3ZYSl180CpcUJ8nQIDOjKjQtq-PhdlWy4EQzYMK8,84,KyH1vITW3U8LooR4mtSk58JPjq6v2PHXWwq5xqJllaMvBTSWe3x002cQQpqQuq0sYg75pVz4ru1lWA
1577,MASTER,NPheVmGqlKZU9e9XSFRix3k29EgjxcxhudGTouopjvG0RA,Dj PeeI,79,306,267,False,False,False,False,ZWlg3SfAtR7XtZDkzZ7JH0dbzVoYc3bCfMUK06GUHT_rM8I,286,YcKgimQX5zkeRezfwasSaCU9cXC63HjU3-bPw32Fcx2gHcGUZGhTQkOC7PILszQ51pSjA3z1QeR47w
1578,MASTER,9jsH3WX-xGbZ_5-q4CYsTv2FaSWhasfAEH80xwAGpByx,Liz GiIIies,267,952,955,False,False,True,False,BZpR6fYQFySVzO6XU9LyEV-cC-goQ40ZuBZaX0I331E,538,HzN6wNhGT_Ade1AIVuY0IqFHyfXXBZkzB67VipCzkAUzDWGlAq2ffq6vA3hzDPjx7D8_2maXzSkrpg
1579,MASTER,MHTq0jmvE4bCrpP2fUdm8Nx8_B5cg-QHwu8opIgtYB2sxw,its johnny,0,591,559,False,False,False,False,7NN3cePX4L9HCBpQ42f5PHaElG_gdPSq72DKGQOFfMYDcz0,279,Y0ryAWgU70aOOPpHl4E1yHzXwhMrIgcqy6-ZjRnk72uGSHPqKOVAXQu23-QXQrpoX2V3mETKQEJ2Bw
