accountId,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,summonerLevel,puuid,win_rate
tsx1oonhZRAB-k5CIsQm9F7f6AF3Il08xSmgemc4eOA,DIAMONDI,Q2R5DEGPuZriN3wa7psaCJarsnAEOPtvYMPhPt-c52wNSg,comebacks,24,695,670,False,False,False,False,237,MwVbMbcz_D2bjpeOmAVb3RkufDVVSXrfwWHoJOtw0truro8-ixjFcMa3zqUi3vAFO2RZr-vZ9TFJfg,0.5091575091575091
tViri9dijWOAfTEDvUtwbLKuUVjVZBuvH014eHac4bk,DIAMONDI,QzXFV4_X0uwuEE9ulB7fSQdfvayTxz-hFbNI7UD3yuOxIQ,Thormetic,0,217,184,False,False,False,False,208,S6i_92AwDKeyEjUC0n8Kl7dbmgd-eX7DJJOmUcIRoW5LUOakXLcnm-5s-8HsDCNlZTp47sW88Cn_Yg,0.5411471321695761
iq1ux-Dfzfx0mJDEWcnijwBeEk_uC0d9jm4FTmnUChKE,DIAMONDI,mA80ToSXv-e4ZIF4RmSnz948CZD_nVEY8oH7VNgPbcGLtA,black svvan,100,289,256,False,False,False,False,301,SXB6f8TnFy1412irxJvixRxIzaAQD5TzbPcp8qfDWXXxxY9veNOCmRxV8K_Nc_C085G1THBo_UjhAA,0.5302752293577981
mRuk0vnz1FOb6TVOLCUwq-i06p-5JznMMQ_X6P3kqC2Y,DIAMONDI,2pLyPDgXi3ZD5pe-6QpiT0kZqJccwBXKiLWg1aQ-pObWBA,Yidaruny,36,160,156,False,False,False,False,457,XvEybZo9QjcwG_h9Qyxd5vTS8h3Xe2LUPSUBcYuaGebMq8wx_4HBqfA3Roo9p44iZFcHCSfPOtH6wA,0.5063291139240507
35zEbh3YsmUqXrjhhluSQASSt_7md0bUpGsk0NE8o-6b,DIAMONDI,bPBK0cg73CLNBr7_3j2h4plLHmp-hrueTKGun12LDwNLdQ,Cabra Selvagem,55,60,46,False,False,False,False,184,JRlbD_6LJPLhQVxpzgziHXaKmKl-p9KEwZ8Wh4rr39Df9FobOp4e2Xf7seJ05_qB9xBx5ayEXrXbzg,0.5660377358490566
O8rJicwxI8it-1vqgAV8pzS_B7vTkf5lwsqSn7HOaRpfO34,DIAMONDI,p40IwlKvYGHMxd4tHFC4R4fShn_9mF_HWMz0auCkCOahmao,Sobolewski,34,55,43,False,False,False,False,206,qUBRsD2fRCl4yH3nNBmIhFoe1dp2qihMC2qFzJ6010NqJ6I1kGk2UN7qu7qy5bgJzEfZRNRM68cZ8w,0.5612244897959183
qK_ZPzCutO0LC2c3ZggNuiO-KL6SbwXn9xjomOGXXas,DIAMONDI,7zxmAlQfySCYanmziFYY_MKYhGAxnzVElya47rPxmlYQ3A,GGHB,0,265,260,False,False,False,False,215,Yjm1FoXeVSqnvfTarHO7tk7S65Y85Qy-HrXTvdvaLmR73P6j6DkfyxJMHKOuEpqnG5hPgsJO_gqJng,0.5047619047619047
8e2Z5DPnTYNoHBjc5-RpuSBL0FZbth5mV1MPbKyayTRG,DIAMONDI,7Hp_QTCpfPZHgKSf0z4dZ9Mn_rJODuU3sXr9puRXS6UNaQ,Skywaf,75,78,67,False,False,False,False,267,8WpPnnguD0Ub2ShD8LOAL_mrQ4UY0SGTUqyABtAMitOsfz-3FK9gUwdz3aipTY5V9AILKjsTtB2AUA,0.5379310344827586
WiE9vi4DdymAX9RtpAkYYJXu6yI0GAgHueOBBFXaLfnJtEI,DIAMONDI,C-QfJsFkl3DDjSLvjAXJKwMt5mAj6I2idfLMOthEj4DC2e0,kimzin apenas,21,191,141,False,False,False,False,225,mpWQsp79Y49LCZsbF7iHEjIWzSodFcpdBULrOwPax261ds337jSjNN1cVyB3k1rG6g4pDP24QIDxnw,0.5753012048192772
q5kznSJcv44J6SK-dqYBDHYeojVGbd4Uf2FAqX7VpA4_4E4,DIAMONDI,mhIc6JJ5JhoCHT-ZJOZqC9DRUFpLv__rdJJLtM865DrtF1o,OTAJAVALLUBTIP,53,314,284,False,False,False,False,198,MGJKOoHwsuKhFOurhiVoFVVRA8Lf_Ndpqk4nHvM1KAHNnlenKtscGZcOHOBFIrc5vnS8Rx8QzKR3dw,0.5250836120401338
f_psPp4fOzJPbmWNAh_K1O2OUFAUpEFcFLTSTRxFtg4ASRk,DIAMONDI,izavLuwrzN4PTkxKCdMBmUDyI5HspwjOck-T_48KUhMQxGE,Mano Zubumafu,64,338,309,False,False,False,False,239,wd33NHfqmTbCNi7c1WCEhp9RWGGFhWywpJC9ykada-aGwNum1mPScyQFmHpa3pZZbJK4iEXeZ7XTcQ,0.5224111282843895
3mKQt8mWING4tfz9gAHYzLVTdo-2HLE1oe2X_enbQLss,DIAMONDI,l4nk_TBsz1PjEw2AuN7kg9B5aR_S7IEfbsrzsfQ4frrlnQ,Hit Kauling,11,161,131,False,False,False,False,146,05BYHUh0rEmz7WP-ur56mCoFXLY1qE7Pf9zvAk0M6DHXRUQ9YlpMvrErTaVBuWoJQYnjVSppZK_Qqw,0.5513698630136986
X59t5eCxy6IhTDQkRucB5qZKv_wNCvfnXakrIrzTMU9crh4,DIAMONDI,lK3kEkao0cM_4cdpgK0itPCKym2SQgAE8OB5PXer57ndmmo,Niight Lovell,55,79,52,False,False,False,False,144,qtQvcu0ss37ewBXogxhqhPddD0d8poAJOTamtoALJCDE2_OHzeK-7WVrhiEjsnTf3YtJAwWo3yuTdw,0.6030534351145038
mV_wvTWks__mdrIcToEoWYzLxXILZk7FXfpq_W_Hne3n,DIAMONDI,_iABWqmtx6DBdityuuHVKeYSz0falVeHuHdWmzbvJUbrkw,Dunskel,57,221,221,False,False,False,False,312,RytbbTVnXA32N7p1W22re-8U4Jf-UTT0DMhVfI28VLO2RKrK5Yj8xUe81rOJfMXYlkMcvwnJUpudBw,0.5
